id,choice,composition,correct,kernels,comp1,comp2,other,single
36,+,+,1,ps,p,s,FALSE,FALSE
36,+,*,0,ls,p,l,TRUE,FALSE
36,*,*,1,ls,l,p,FALSE,FALSE
36,+,+,1,ls,p,l,FALSE,FALSE
36,8,+,0,ps,p,s,FALSE,TRUE
36,*,+,0,pp,s,p,TRUE,FALSE
36,1,+,0,pp,s,p,FALSE,TRUE
37,3,*,0,ls,l,s,FALSE,TRUE
37,+,*,0,lp,s,l,TRUE,FALSE
37,*,*,1,ps,p,s,FALSE,FALSE
37,3,*,0,pp,s,p,FALSE,TRUE
37,5,+,0,ps,p,s,FALSE,TRUE
37,*,*,1,ls,l,s,FALSE,FALSE
37,5,*,0,ls,p,l,FALSE,TRUE
37,2,+,0,ps,p,s,FALSE,TRUE
37,5,*,0,pp,s,p,FALSE,TRUE
37,*,*,1,ls,l,p,FALSE,FALSE
38,+,+,1,ps,p,s,FALSE,FALSE
38,+,*,0,ls,l,p,TRUE,FALSE
38,2,+,0,ls,l,s,FALSE,TRUE
38,+,*,0,ls,p,l,TRUE,FALSE
38,*,*,1,ps,p,s,FALSE,FALSE
38,+,+,1,lp,s,l,FALSE,FALSE
38,+,+,1,ls,l,p,FALSE,FALSE
38,2,*,0,lp,s,l,FALSE,TRUE
38,+,+,1,ls,p,l,FALSE,FALSE
38,+,+,1,pp,s,p,FALSE,FALSE
39,+,+,1,ps,p,s,FALSE,FALSE
39,4,+,0,pp,s,p,FALSE,TRUE
39,+,+,1,ps,p,s,FALSE,FALSE
39,3,*,0,lp,s,l,FALSE,TRUE
39,+,+,1,pp,s,p,FALSE,FALSE
39,5,+,0,ps,p,s,FALSE,TRUE
39,5,*,0,lp,s,l,FALSE,TRUE
39,5,+,0,ls,l,p,FALSE,TRUE
39,6,+,0,ls,l,s,FALSE,TRUE
39,6,*,0,pp,s,p,FALSE,TRUE
40,+,+,1,ls,p,l,FALSE,FALSE
40,+,*,0,ps,p,s,TRUE,FALSE
40,+,*,0,ls,l,s,TRUE,FALSE
40,1,*,0,pp,s,p,FALSE,TRUE
40,*,+,0,pp,s,p,TRUE,FALSE
40,6,*,0,pp,s,p,FALSE,TRUE
40,*,+,0,ps,p,s,TRUE,FALSE
40,*,+,0,ls,l,s,TRUE,FALSE
40,+,*,0,ls,l,p,TRUE,FALSE
40,+,*,0,ls,p,l,TRUE,FALSE
41,8,*,0,ls,p,l,FALSE,TRUE
41,6,+,0,pp,s,p,FALSE,TRUE
41,*,*,1,ls,l,s,FALSE,FALSE
41,5,*,0,ps,p,s,FALSE,TRUE
41,7,+,0,ls,l,p,FALSE,TRUE
41,8,*,0,ls,l,s,FALSE,TRUE
41,*,+,0,pp,s,p,TRUE,FALSE
41,6,*,0,ps,p,s,FALSE,TRUE
41,+,*,0,ls,l,s,TRUE,FALSE
41,6,*,0,ls,l,s,FALSE,TRUE
42,+,*,0,pp,s,p,TRUE,FALSE
42,+,*,0,ls,l,s,TRUE,FALSE
42,1,+,0,lp,s,l,FALSE,TRUE
42,1,+,0,ps,p,s,FALSE,TRUE
42,7,+,0,ls,l,s,FALSE,TRUE
42,7,+,0,ls,p,l,FALSE,TRUE
42,+,*,0,lp,s,l,TRUE,FALSE
42,5,*,0,ls,l,s,FALSE,TRUE
42,*,+,0,pp,s,p,TRUE,FALSE
42,*,*,1,ls,p,l,FALSE,FALSE
43,*,+,0,ls,p,l,TRUE,FALSE
43,9,+,0,ps,p,s,FALSE,TRUE
43,+,*,0,ls,l,s,TRUE,FALSE
43,*,+,0,lp,s,l,TRUE,FALSE
43,+,*,0,ls,l,s,TRUE,FALSE
43,*,*,1,ls,l,s,FALSE,FALSE
43,1,*,0,pp,s,p,FALSE,TRUE
43,+,+,1,ls,l,s,FALSE,FALSE
43,9,+,0,ls,l,s,FALSE,TRUE
43,6,*,0,ps,p,s,FALSE,TRUE
44,+,+,1,pp,s,p,FALSE,FALSE
44,6,*,0,ps,p,s,FALSE,TRUE
44,+,+,1,ls,p,l,FALSE,FALSE
44,+,*,0,pp,s,p,TRUE,FALSE
44,+,*,0,ls,l,s,TRUE,FALSE
44,*,+,0,ls,p,l,TRUE,FALSE
44,*,*,1,ps,p,s,FALSE,FALSE
44,*,+,0,pp,s,p,TRUE,FALSE
44,+,*,0,ps,p,s,TRUE,FALSE
44,+,*,0,ls,l,s,TRUE,FALSE
45,*,*,1,ps,p,s,FALSE,FALSE
45,+,*,0,lp,s,l,TRUE,FALSE
45,+,+,1,ls,l,p,FALSE,FALSE
45,*,+,0,ls,l,p,TRUE,FALSE
45,*,+,0,ls,l,s,TRUE,FALSE
45,+,*,0,ps,p,s,TRUE,FALSE
45,*,+,0,lp,s,l,TRUE,FALSE
45,7,+,0,lp,s,l,FALSE,TRUE
45,9,*,0,lp,s,l,FALSE,TRUE
45,*,*,1,lp,s,l,FALSE,FALSE
46,7,+,0,pp,s,p,FALSE,TRUE
46,*,*,1,lp,s,l,FALSE,FALSE
46,*,*,1,lp,s,l,FALSE,FALSE
46,2,+,0,ls,l,p,FALSE,TRUE
46,*,+,0,ps,p,s,TRUE,FALSE
46,*,*,1,ls,l,s,FALSE,FALSE
46,*,+,0,lp,s,l,TRUE,FALSE
46,7,+,0,pp,s,p,FALSE,TRUE
46,4,*,0,ps,p,s,FALSE,TRUE
46,*,*,1,ps,p,s,FALSE,FALSE
47,*,*,1,ls,l,p,FALSE,FALSE
47,4,+,0,pp,s,p,FALSE,TRUE
47,*,*,1,ls,p,l,FALSE,FALSE
47,+,*,0,ls,l,p,TRUE,FALSE
47,+,+,1,ls,p,l,FALSE,FALSE
47,1,*,0,lp,s,l,FALSE,TRUE
47,+,*,0,ls,l,p,TRUE,FALSE
47,9,+,0,ls,l,s,FALSE,TRUE
47,6,+,0,lp,s,l,FALSE,TRUE
47,*,*,1,ls,l,s,FALSE,FALSE
48,5,*,0,pp,s,p,FALSE,TRUE
48,8,+,0,pp,s,p,FALSE,TRUE
48,4,+,0,lp,s,l,FALSE,TRUE
48,7,*,0,pp,s,p,FALSE,TRUE
48,7,*,0,pp,s,p,FALSE,TRUE
48,*,+,0,ps,p,s,TRUE,FALSE
48,+,+,1,lp,s,l,FALSE,FALSE
48,*,*,1,pp,s,p,FALSE,FALSE
48,6,+,0,ps,p,s,FALSE,TRUE
48,4,+,0,pp,s,p,FALSE,TRUE
49,+,*,0,ls,l,s,TRUE,FALSE
49,+,+,1,lp,s,l,FALSE,FALSE
49,*,*,1,pp,s,p,FALSE,FALSE
49,*,*,1,lp,s,l,FALSE,FALSE
49,2,*,0,pp,s,p,FALSE,TRUE
49,*,*,1,ls,p,l,FALSE,FALSE
49,+,*,0,ls,l,p,TRUE,FALSE
49,+,+,1,lp,s,l,FALSE,FALSE
49,*,*,1,ls,l,p,FALSE,FALSE
49,+,+,1,lp,s,l,FALSE,FALSE
50,+,*,0,ps,p,s,TRUE,FALSE
50,+,*,0,ls,l,s,TRUE,FALSE
50,+,+,1,pp,s,p,FALSE,FALSE
50,+,+,1,lp,s,l,FALSE,FALSE
50,*,+,0,lp,s,l,TRUE,FALSE
50,9,+,0,ls,l,s,FALSE,TRUE
50,*,+,0,ls,p,l,TRUE,FALSE
50,*,*,1,lp,s,l,FALSE,FALSE
50,2,*,0,ls,l,s,FALSE,TRUE
50,+,*,0,pp,s,p,TRUE,FALSE
